Year	Week	Home	Away	Score_home	Score_away
2017	1	NE	KC	27	42
2017	1	CHI	ATL	17	23
2017	1	BUF	NYJ	21	12
2017	1	WAS	PHI	17	30
2017	1	TEN	LV	16	26
2017	1	HOU	JAX	7	29
2017	1	DET	ARI	35	23
2017	1	CLE	PIT	18	21
2017	1	CIN	BAL	0	20
2017	1	LA	IND	46	9
2017	1	SF	CAR	3	23
2017	1	GB	SEA	17	9
2017	1	DAL	NYG	19	3
2017	1	MIN	NO	29	19
2017	1	DEN	LAC	24	21
2017	2	CIN	HOU	9	13
2017	2	CAR	BUF	9	3
2017	2	TB	CHI	29	7
2017	2	BAL	CLE	24	10
2017	2	PIT	MIN	26	9
2017	2	NO	NE	20	36
2017	2	KC	PHI	27	20
2017	2	JAX	TEN	16	37
2017	2	IND	ARI	13	16
2017	2	LAC	MIA	17	19
2017	2	LV	NYJ	45	20
2017	2	SEA	SF	12	9
2017	2	LA	WAS	20	27
2017	2	DEN	DAL	42	17
2017	2	ATL	GB	34	23
2017	2	NYG	DET	10	24
2017	3	SF	LA	39	41
2017	3	JAX	BAL	44	7
2017	3	CAR	NO	13	34
2017	3	BUF	DEN	26	16
2017	3	PHI	NYG	27	24
2017	3	NYJ	MIA	20	6
2017	3	NE	HOU	36	33
2017	3	MIN	TB	34	17
2017	3	DET	ATL	26	30
2017	3	IND	CLE	31	28
2017	3	CHI	PIT	23	17
2017	3	TEN	SEA	33	27
2017	3	LAC	KC	10	24
2017	3	GB	CIN	27	24
2017	3	WAS	LV	27	10
2017	3	ARI	DAL	17	28
2017	4	GB	CHI	35	14
2017	4	MIA	NO	0	20
2017	4	CLE	CIN	7	31
2017	4	ATL	BUF	17	23
2017	4	BAL	PIT	9	26
2017	4	NYJ	JAX	23	20
2017	4	NE	CAR	30	33
2017	4	MIN	DET	7	14
2017	4	HOU	TEN	57	14
2017	4	DAL	LA	30	35
2017	4	TB	NYG	25	23
2017	4	LAC	PHI	24	26
2017	4	ARI	SF	18	15
2017	4	DEN	LV	16	10
2017	4	SEA	IND	46	18
2017	4	KC	WAS	29	20
2017	5	TB	NE	14	19
2017	5	CLE	NYJ	14	17
2017	5	CIN	BUF	20	16
2017	5	PIT	JAX	9	30
2017	5	PHI	ARI	34	7
2017	5	NYG	LAC	22	27
2017	5	MIA	TEN	16	10
2017	5	DET	CAR	24	27
2017	5	IND	SF	26	23
2017	5	LA	SEA	10	16
2017	5	LV	BAL	17	30
2017	5	DAL	GB	31	35
2017	5	HOU	KC	34	42
2017	5	CHI	MIN	17	20
2017	6	CAR	PHI	23	28
2017	6	ATL	MIA	17	20
2017	6	WAS	SF	26	24
2017	6	BAL	CHI	24	27
2017	6	NYJ	NE	17	24
2017	6	NO	DET	52	38
2017	6	MIN	GB	23	10
2017	6	HOU	CLE	33	17
2017	6	ARI	TB	38	33
2017	6	JAX	LA	17	27
2017	6	LV	LAC	16	17
2017	6	KC	PIT	13	19
2017	6	DEN	NYG	10	23
2017	6	TEN	IND	36	22
2017	7	LV	KC	31	30
2017	7	CHI	CAR	17	3
2017	7	BUF	TB	30	27
2017	7	LA	ARI	33	0
2017	7	MIN	BAL	24	16
2017	7	MIA	NYJ	31	28
2017	7	GB	NO	17	26
2017	7	IND	JAX	0	27
2017	7	CLE	TEN	9	12
2017	7	SF	DAL	10	40
2017	7	LAC	DEN	21	0
2017	7	PIT	CIN	29	14
2017	7	NYG	SEA	7	24
2017	7	NE	ATL	23	7
2017	7	PHI	WAS	34	24
2017	8	BAL	MIA	40	0
2017	8	CLE	MIN	16	33
2017	8	CIN	IND	24	23
2017	8	BUF	LV	34	14
2017	8	TB	CAR	3	17
2017	8	PHI	SF	33	10
2017	8	NYJ	ATL	20	25
2017	8	NE	LAC	21	13
2017	8	NO	CHI	20	12
2017	8	SEA	HOU	41	38
2017	8	WAS	DAL	19	33
2017	8	DET	PIT	15	20
2017	8	KC	DEN	29	19
2017	9	NYJ	BUF	34	21
2017	9	CAR	ATL	20	17
2017	9	PHI	DEN	51	23
2017	9	TEN	BAL	23	20
2017	9	NYG	LA	17	51
2017	9	NO	TB	30	10
2017	9	JAX	CIN	23	7
2017	9	HOU	IND	14	20
2017	9	SF	ARI	10	20
2017	9	SEA	WAS	14	17
2017	9	DAL	KC	28	17
2017	9	MIA	LV	24	27
2017	9	GB	DET	17	30
2017	10	ARI	SEA	16	22
2017	10	BUF	NO	10	47
2017	10	WAS	MIN	30	38
2017	10	TB	NYJ	15	10
2017	10	TEN	CIN	24	20
2017	10	JAX	LAC	20	17
2017	10	DET	CLE	38	24
2017	10	IND	PIT	17	20
2017	10	CHI	GB	16	23
2017	10	LA	HOU	33	7
2017	10	ATL	DAL	27	7
2017	10	SF	NYG	31	21
2017	10	DEN	NE	16	41
2017	10	CAR	MIA	45	21
2017	11	PIT	TEN	40	17
2017	11	CLE	JAX	7	19
2017	11	CHI	DET	24	27
2017	11	NYG	KC	12	9
2017	11	NO	WAS	34	31
2017	11	MIN	LA	24	7
2017	11	MIA	TB	20	30
2017	11	HOU	ARI	31	21
2017	11	GB	BAL	0	23
2017	11	LAC	BUF	54	24
2017	11	LV	NE	8	33
2017	11	DEN	CIN	17	20
2017	11	DAL	PHI	9	37
2017	11	SEA	ATL	31	34
2017	12	DET	MIN	23	30
2017	12	DAL	LAC	6	28
2017	12	WAS	NYG	20	10
2017	12	PHI	CHI	31	3
2017	12	NYJ	CAR	27	35
2017	12	NE	MIA	35	17
2017	12	KC	BUF	10	16
2017	12	IND	TEN	16	20
2017	12	CIN	CLE	30	16
2017	12	ATL	TB	34	20
2017	12	SF	SEA	13	24
2017	12	LA	NO	26	20
2017	12	LV	DEN	21	14
2017	12	ARI	JAX	27	24
2017	12	PIT	GB	31	28
2017	12	BAL	HOU	23	16
2017	13	DAL	WAS	38	14
2017	13	BUF	NE	3	23
2017	13	ATL	MIN	9	14
2017	13	BAL	DET	44	20
2017	13	TEN	HOU	24	13
2017	13	NYJ	KC	38	31
2017	13	MIA	DEN	35	9
2017	13	JAX	IND	30	10
2017	13	GB	TB	26	20
2017	13	CHI	SF	14	15
2017	13	LAC	CLE	19	10
2017	13	LV	NYG	24	17
2017	13	NO	CAR	31	21
2017	13	ARI	LA	16	32
2017	13	SEA	PHI	24	10
