BAND,LOWER_POLITICAL,UPPER_POLITICAL,COUNTRY,ORIGIN_YEAR
Blanks 77,Hillside,New Jersey,USA,1990
Bl'ast,Santa Cruz,California,USA,1984
Blatz,Berkeley,California,USA,1989
Blink 182,Poway,California,USA,1992
Dr. Know,Oxnard,California,USA,1981
Dropdead,Providence,Rhode Island,USA,1990
Dropkick Murphys,Quincy,Massachusetts,USA,1996
Drunk Injuns,San Jose,California,USA,1983
The Ducky Boys,Boston,Massachusetts,USA,1995
Dwarves,Chicago,Illinois,USA,1986
DYS,Boston,Massachusetts,USA,1983
Dystopia,Orange County,California,USA,1991
Early Graves,San Francisco,California,USA,2007
Earth Crisis,Syracuse,New York,USA,1989
The Faith,Washington,D.C.,USA,1981
Fang,Berkeley,California,USA,1981
The Fartz,Seattle,Washington,USA,1981
108,New York,New York,USA,1991
1208,Hermosa Beach,California,USA,1996
25 ta Life,Queens,New York,USA,1991
30 Foot Fall,Houston,Texas,USA,1993
44,Los Angeles,California,USA,2005
45 Grave,Los Angeles,California,USA,1979
7 Seconds,Reno,Nevada,USA,1980
88 Fingers Louie,Chicago,Illinois,USA,1993
98 Mute,Hermosa Beach,California,USA,1993
A//Political,Baltimore,Maryland,USA,1993
The Adolescents,Fullerton,California,USA,1980
Adrenalin O.D.,Elmwood Park,New Jersey,USA,1981
AFI,Ukiah,California,USA,1991
Against All Authority,Miami,Florida,USA,1992
Against Me!,Gainesville,Florida,USA,1997
Agent 51,Poway,California,USA,1995
Agent Orange,Placentia,California,USA,1979
Agnostic Front,New York,New York,USA,1982
Aiden,Seattle,Washington,USA,2003
Alkaline Trio,Chicago,Illinois,USA,1996
Alice Donut,New York,New York,USA,1986
All,Fort Collins,Colorado,USA,1987
The All-American Rejects,Stillwater,Oklahoma,USA,1999
Allister,Chicago,Illinois,USA,1996
The Alley Cats,Los Angeles,California,USA,1978
GG Allin,Lancaster,New Hampshire,USA,1976
Amen (American band)|Amen,Los Angeles,California,USA,1994
American Standards,Phoenix,Arizona,USA,2011
American Steel,Oakland,California,USA,1995
American Hi-Fi,Boston,Massachusetts,USA,1998
Andrew Jackson Jihad,Phoenix,Arizona,USA,2004
Ann Beretta,Richmond,Virginia,USA,1996
Angry Samoans,Los Angeles,California,USA,1978
Anti-Flag,Pittsburgh,Pennsylvania,USA,1988
Anti-Heros,Atlanta,Georgia,USA,1984
Anti-Scrunti Faction,Boulder,Colorado,USA,1984
Antischism,Columbia,South Carolina,USA,1988
Antiseen,Charlotte,North Carolina,USA,1983
Apocalypse Hoboken,Chicago,Illinois,USA,1987
The Aquabats,Huntington Beach,California,USA,1994
Arson Anthem,New Orleans,Louisiana,USA,2006
Articles of Faith,Chicago,Illinois,USA,1981
As Friends Rust,Gainesville,Florida,USA,1996
Assjack,Gridley,California,USA,1999
Assorted Jelly Beans,Riverside,California,USA,1996
At the Drive-In,El Paso,Texas,USA,1994
The Ataris,Anderson,Indiana,USA,1995
Atom and His Package,Philadelphia,Pennsylvania,USA,1997
Aus-Rotten,Pittsburgh,Pennsylvania,USA,1992
Authority Zero,Mesa,Arizona,USA,1994
Autopilot Off,Orange County,New York,USA,1996
Avail,Richmond,Virginia,USA,1987
The Avengers,San Francisco,California,USA,1977
Avoid One Thing,Boston,Massachusetts,USA,2002
Awkward Thought,New York,New York,USA,1998
Babes in Toyland,Minneapolis,Minnesota,USA,1987
Bad Astronaut,Goleta,California,USA,2000
Bad Brains,Washington,D.C.,USA,1977
Bad Religion,Los Angeles, California,USA,1979
Bags,Los Angeles,California,USA,1977
Bane,Worcester,Massachusetts,USA,1995
The Banner,New Jersey,,USA,1999
Banner Pilot,Minneapolis,Minnesota,USA,2005
Barely Blind,Groves,Texas,USA,2003
Battalion of Saints,San Diego,California,USA,1980
Battery,Washington,D.C.,USA,1990
Bayside,Queens,New York,USA,2000
Beastie Boys,Brooklyn,New York,USA,1980
Behind Enemy Lines,Pittsburgh,Pennsylvania,USA,2000
Best Revenge,Los Angeles,California,USA,1998
Better Than a Thousand,Washington,D.C.,USA,1997
Bhopal Stiffs,Chicago,Illinois,USA,1985
Bickley,Houston,Texas,USA,1995
Big Black,Evanston,Illinois,USA,1981
Big Boys,Austin,Texas,USA,1979
Big D and the Kids Table,Boston,Massachusetts,USA,1995
Big Drill Car,Costa Mesa,California,USA,1987
Bigwig,Nutley,New Jersey,USA,1995
Bikini Kill,Olympia,Washington,USA,1990
Billy Talent,Mississauga,Ontario,USA,1993
Biohazard,Brooklyn,New York,USA,1988
Blackbird Raum,Santa Cruz,California,USA,2004
Blackfire,Black Mesa,Arizona,USA,1989
Black Flag,Hermosa Beach,California,USA,1976
Black Lips,Dunwoody,Georgia,USA,1999
The Black Pacific,Huntington Beach,California,USA,2010
Black Randy and the Metrosquad,Los Angeles,California,USA,1977
Black Square,Honolulu,Hawaii,USA,2002
Blood for Blood,Boston,Massachusetts,USA,1994
Blue Meanies,Carbondale,Illinois,USA,1989
Bobot Adrenaline,Los Angeles,California,USA,2001
Bold,Westchester County,New York,USA,1986
Bomb the Music Industry!,Nassau County,New York,USA,2004
Bowling for soup,Wichita Falls,Texas,USA,1994
Born Against,New York,New York,USA,1989
The Bouncing Souls,New Brunswick,New Jersey,USA,1987
Box Car Racer,Los Angeles,California,USA,2002
Bracket,Forestville,California,USA,1992
Brand New,Levittown,New York,USA,2000
Brand New War,Los Angeles,California,USA,2005
Bratmobile,Olympia,Washington,USA,1991
Breakdown,New York,New York,USA,1986
The Briefs,Seattle,Washington,USA,2000
The Briggs,Los Angeles,California,USA,2001
The Broadways,Chicago,Illinois,USA,1996
Broadway Calls,Rainier,Oregon,USA,2005
The Bronx,Los Angeles,California,USA,2002
Brother's Keeper,Erie,Pennsylvania,USA,1994
The Bruce Lee Band,San Francisco,California,USA,1997
The Bruisers,Portsmouth,New Hampshire,USA,1988
Brutal Juice,Denton,Texas,USA,1991
