BAND,LOWER_POLITICAL,UPPER_POLITICAL,COUNTRY,ORIGIN_YEAR
Lagwagon,Goleta,California,USA,1990
Lard,Chicago,Illinois,USA,1989
Lars Frederiksen and the Bastards,Campbell,California,USA,2001
Latex Generation,New York City,New York,USA,1990
Latterman,Huntington Station,New York,USA,2000
The Lawrence Arms,Chicago,Illinois,USA,1999
Leathermouth,Belleville,New Jersey,USA,2007
Lemuria,Buffalo,New York,USA,2004
Letter Kills,Temecula,California,USA,2002
Le Shok,Long Beach,California,USA,1997
Le Tigre,New York City,New York,USA,1998
Left Alone,Wilmington,California,USA,1996
The Leftovers,Portland,Maine,USA,2002
Leftöver Crack,New York City,New York,USA,2000
Legal Weapon,Los Angeles,California,USA,1981
The Lemonheads,Boston,Massachusetts,USA,1986
Less Than Jake,Gainesville,Florida,USA,1992
Lesser of Two,Fort Walton Beach,Florida,USA,1989
Let's Go Bowling,Fresno,California,USA,1986
Life After Life,San Francisco,California,USA,1993
Life's Blood,New York City,New York,USA,1987
Lifetime,New Brunswick,New Jersey,USA,1990
Limp,San Francisco Bay Area,California,USA,1996
Limp Wrist,Albany,New York,USA,1998
Link 80,San Francisco Bay Area,California,USA,1994
Lit,Orange County,California,USA,1988
Litmus Green,California,California,USA,1991
The Locust,San Diego,California,USA,1994
Long Beach Dub Allstars,Long Beach,California,USA,1997
Long Beach Shortbus,Long Beach,California,USA,2002
Look Back and Laugh,Oakland,California,USA,2004
Lovecraft's Monsters,Jackson,Ohio,USA,2016
Love Equals Death,Petaluma,California,USA,2003
The Loved Ones,Philadelphia,Pennsylvania,USA,2003
The Low Budgets,Philadelphia,Pennsylvania,USA,2000
Lower Class Brats,Austin,Texas,USA,1995
Ludichrist,New York,New York,USA,1984
Madball,New York City,New York,USA,1988
Mad Caddies,Solvang,California,USA,1995
Magnapop,Atlanta,Georgia,USA,1989
Make Do and Mend,West Hartford,Connecticut,USA,2006
Malignus Youth,Sierra Vista,Arizona,USA,1987
Manic Hispanic,Orange County,California,USA,1992
Man Is the Bastard,Claremont,California,USA,1990
Masters of the Obvious,New Orleans,Louisiana,USA,1981
Matchbook Romance,Poughkeepsie,New York,USA,1997
The Matches,Oakland,California,USA,1997
The Max Levine Ensemble,Washington,D.C.,USA,2000
Maxeen,Los Angeles,California,USA,2003
Mayday Parade,Tallahassee,Florida,USA,2006
MC5,Detroit,Michigan,USA,1964
MDC,Austin,Texas,USA,1979
Me First and the Gimme Gimmes,San Francisco,California,USA,1995
Mealticket,Los Angeles,California,USA,1991
The Meatmen,Lansing,Michigan,USA,1980
Meat Puppets,Phoenix,Arizona,USA,1980
The Men,New York City,New York,USA,2008
The Mentors,Seattle,Washington,USA,1976
The Menzingers,Philadelphia,Pennsylvania,USA,2006
Merauder,New York City,New York,USA,1990
Mest,Blue Island,Illinois,USA,1995
The Methadones,Chicago,Illinois,USA,1993
M.I.A. Orange County,Las Vegas,Nevada,USA,1982
Middle Class,Santa Ana,California,USA,1976
Midtown,New Brunswick,New Jersey,USA,1999
The Mighty Mighty Bosstones,Boston,Massachusetts,USA,1985
Mill a h-Uile Rud,Seattle,Washington,USA,2003
Mindless Self Indulgence,New York City,New York,USA,1995
Mink DeVille,San Francisco,California,USA,1974
Minor Threat,Washington,D.C.,USA,1980
The Minutemen,San Pedro,California,USA,1980
Mischief Brew,Philadelphia,Pennsylvania,USA,2000
Misfits,Lodi,New Jersey,USA,1977
MK-Ultra,Chicago,Illinois,USA,1993
Modern Life Is War,Marshalltown,Iowa,USA,2002
Modern Warfare,Long Beach,California,USA,1980
Modey Lemon,Pittsburgh,Pennsylvania,USA,1999
Mojo Nixon,Virginia,Danville,USA,1985
Mondo Generator,Los Angeles,California,USA,1997
Monsula,San Francisco,California,USA,1988
Morning Again,Fort Lauderdale,Florida,USA,1995
Morning Glory,New York City,New York,USA,2001
Moss Icon,Annapolis,Maryland,USA,1986
Motion City Soundtrack,Minneapolis,Minnesota,USA,1997
The Movielife,New York City,New York,USA,1997
The Mr. T Experience,Berkeley,California,USA,1985
MU330,St. Louis,Missouri,USA,1988
Much the Same,Chicago,Illinois,USA,1999
Mucky Pup,Bergenfield,New Jersey,USA,1986
Mudhoney,Seattle,Washington,USA,1988
The Muffs,Los Angeles,California,USA,1991
Murderdolls,Hollywood,California,USA,2002
The Murder Junkies,New York City,New York,USA,1991
Murphy's Law,New York City,New York,USA,1983
Mustard Plug,Grand Rapids,Michigan,USA,1995
MxPx,Bremerton,Washington,USA,1992
My Chemical Romance,Newark,New Jersey,USA,2001
Naked Aggression,Madison,Wisconsin,USA,1990
Naked Raygun,Chicago,Illinois,USA,1981
Naked Violence,Portland,Oregon,USA,1991
Nastasee,Bergen County,New Jersey,USA,1996
Nation of Ulysses,Washington,D.C.,USA,1988
National Razor,Baltimore,Maryland,USA,1998
Nausea,New York City,New York,USA,1985
Necros,Maumee,Ohio,USA,1979
The Need,Olympia,Washington,USA,1996
Negative Approach,Detroit,Michigan,USA,1981
Negative FX,Boston,Massachusetts,USA,1981
Negative Trend,San Francisco,California,USA,1977
Nerf Herder,Santa Barbara,California,USA,1994
The Nerve Agents,San Francisco,California,USA,1998
Nervous Gender,Los Angeles,California,USA,1978
The Network,Oakland,California,USA,2003
Neurosis,Oakland,California,USA,1985
New Bomb Turks,Columbus,Ohio,USA,1990
New Found Glory,Coral Springs,Florida,USA,1997
New Regime,Los Angeles,California,USA,1981
New Mexican Disaster Squad,Orlando,Florida,USA,1999
New York Dolls,New York City,New York,USA,1971
Nightmare Sonata,Greensboro,North Carolina,USA,2003
Nip Drivers,Hawthorne,California,USA,1982
No Comment,North Hollywood,California,USA,1987
No Doubt,Anaheim,California,USA,1986
No Innocent Victim,San Diego,California,USA,1992
No Trigger,Worcester,Massachusetts,USA,2000
No Use for a Name,San Jose,California,USA,1987
NOFX,Los Angeles,California,USA,1983
Noise By Numbers,Chicago,Illinois,USA,2008
None More Black,Philadelphia,Pennsylvania,USA,2000
Off!,Los Angeles,California,USA,2009
Off with Their Heads,Minneapolis,Minnesota,USA,2002
The Offspring,Garden Grove,California,USA,1984
Old Man Markley,Los Angeles,California,USA,2007
One Bad Pig,Austin,Texas,USA,1985
One-Eyed Doll,Austin,Texas,USA,2008
One Hit Wonder,Long Beach,California,USA,1993
One King Down,Albany,New York,USA,1994
One Man Army,San Francisco,California,USA,1996
Only Crime,Santa Cruz,California,USA,2003
Operation Ivy,Berkeley,California,USA,1987
Orange 9mm,New York York,USA,USA,1994
The Orwells,Elmhurst,Illinois,USA,2009
Osaka Popstar,New York City,New York,USA,2006
Osker,Los Angeles,California,USA,1998
The Other,San Francisco,California,USA,1995
Outbreak,Portland,Maine,USA,2002
Over My Dead Body,San Diego,California,USA,2001
The Pagans,Cleveland,Ohio,USA,1977
